First Name,Last Name,Email,Phone,Employee_Name,Location_Name,Location_Address,Location_ZipCode,Country,Order_Number,Order_Status,Date_Ordered,Order_Total_In_Dollar,Card_no,CVV,Card_Validity,Product_Name,Product_Rating,Product_Price,Rating,Category Name
September,Gonzales,consequat@icloud.couk,(663) 516-7409,Katrina Cleary,Maryville,Alfred Street,24184,United States,321,Completed,10/7/21,3.19,3.70595E+14,399,1/7/26,Latte,3,$3.19 ,Very Poor,Donut
Melissa,Gentry,neque.pellentesque.massa@google.net,1-496-618-4233,Madden Nicol,Edmond,Wilson Street,17003,United States,367,Pending,10/14/21,3.69,3.7428E+14,291,1/9/26,Cappuccino,4,$2.69 ,Poor,Sandwich
Lane,Mcdowell,mauris.erat@icloud.net,1-348-354-0000,Jerimiah Kirsch,Odessa,Fairway,91345,United States,354,Completed,11/12/21,4.59,3.46524E+14,696,1/6/23,Espresso,4,$2.79 ,Average,Coffee
Hollee,Kidd,massa.lobortis@aol.edu,(286) 642-9240,Jai Bello,Belmont,Fox Lane,20176,United States,141,Completed,12/4/21,1.85,3.42171E+14,734,1/11/23,Irish,2,$2.59 ,Good,Tea
Skyler,Holt,amet.faucibus.ut@outlook.edu,(998) 641-6338,Julisa Koster,Duncan,Lincoln Road,91306,United States,266,Completed,12/5/21,1.99,3.45942E+14,924,1/9/24,Mocha,5,$1.85 ,Excellent,Muffin
Ignatius,Leblanc,ac.fermentum@protonmail.org,1-519-625-7558,Oprah Roig,Rochester,North Road,37342,United States,211,Pending,9/26/21,5.79,3.73667E+14,790,1/1/26,Blueberry,3,$3.69 ,,
Kylan,Bartlett,lectus@outlook.org,(595) 434-7763,Ghassan Comstock,Wayne,Church Hill,43011,United States,341,Pending,10/5/21,1.39,3.70508E+14,841,1/12/23,Jelly,3,$3.69 ,,
Xavier,Hutchinson,mauris.erat@hotmail.org,(666) 383-1432,Lucid Brown,Harlingen,Cedar Hill,75104,United States,201,Pending,11/8/21,2.09,3.42981E+14,690,1/10/26,Chocolate,5,$4.59 ,,
Addison,Navarro,malesuada.vel@protonmail.net,1-421-287-4372,Yun Haizen,Malden,Commercial Road,26164,United States,286,Completed,11/24/21,3.19,3.78333E+14,607,1/8/25,Strawberry,4,$5.89 ,,
Harrison,Robbins,aliquet.lobortis.nisi@outlook.ca,(486) 334-9274,Anup Van,Farmington,Hope Street,35759,United States,378,Completed,12/3/21,1.85,3.41834E+14,398,1/7/26,Cream,3,$3.69 ,,
Griffith,Mullen,id.erat@google.edu,(819) 636-9553,Sharon Reynolds,,,,,,,,,4.02401E+14,217,1/2/23,Raisin,2,$2.59 ,,
Wing,Gonzalez,mauris@protonmail.ca,1-271-545-2156,Sandy Pittman,,,,,,,,,3.71477E+14,595,1/6/26,Chocochip,3,$3.99 ,,
Jason,Tate,risus@google.edu,1-526-810-6664,Priscilla Drake,,,,,,,,,3.72135E+14,215, 01/05/26,English,1,$1.99 ,,
Uta,Anderson,convallis.convallis@google.org,(703) 539-3108,Travis Butler,,,,,,,,,3.41222E+14,759,1/7/27,Turkey,2,$3.89 ,,
Paul,Harrington,cursus.diam@aol.net,1-754-831-2307,Monique Mclaughlin,,,,,,,,,4.48597E+14,142,1/11/23,Egg and Cheese,3,$5.79 ,,
Trevor,Medina,dictum.phasellus@google.ca,(322) 308-1977,,,,,,,,,,3.41871E+14,970,1/5/22,Bacon,4,$6.19 ,,
David,Garcia,mauris.rhoncus@yahoo.net,1-745-313-9512,,,,,,,,,,3.47591E+14,849,1/9/25,Veggie Egg,5,$1.39 ,,
Hope,Ross,scelerisque@yahoo.com,(422) 443-9857,,,,,,,,,,3.42896E+14,536,1/11/21,Iced,4,$3.19 ,,
Ali,Barker,quisque.purus.sapien@aol.ca,(652) 713-9222,,,,,,,,,,3.49269E+14,830, 01/10/25,Green,4,$2.09 ,,
Malachi,Sullivan,lacus.etiam@outlook.com,(850) 840-2858,,,,,,,,,,3.49052E+14,624,1/11/27,Peppermint,2,$2.99 ,,
,,,,,,,,,,,,,4.02401E+14,641,1/9/25,Black,1,$3.19 ,,
,,,,,,,,,,,,,3.7E+14,888,1/2/25,,,,,
,,,,,,,,,,,,,3.46745E+14,218,1/9/26,,,,,
,,,,,,,,,,,,,4.9168E+14,170,1/4/28,,,,,
,,,,,,,,,,,,,3.71219E+14,221,1/2/23,,,,,
