Payment id,Card_no,CVV,Card_Validity,FK_Customer_ID
1,370595000000000,399,01/07/26,1
2,374280000000000,291,01/09/26,4
3,346524000000000,696,01/06/23,6
4,342171000000000,734,01/11/23,6
5,345942000000000,924,01/09/24,8
6,373667000000000,790,01/01/26,9
7,370508000000000,841,01/12/23,15
8,342981000000000,690,01/10/26,20
9,378333000000000,607,01/08/25,4
10,341834000000000,398,01/07/26,3
11,402401000000000,217,01/02/23,7
12,371477000000000,595,01/06/26,11
13,372135000000000,215, 01/05/26,13
14,341222000000000,759,01/07/27,16
15,448597000000000,142,01/11/23,17
16,341871000000000,970,01/05/22,18
17,347591000000000,849,01/09/25,5
18,342896000000000,536,01/11/21,2
19,349269000000000,830, 01/10/25,19
20,349052000000000,624,01/11/27,10
21,402401000000000,641,01/09/25,14
22,370000000000000,888,01/02/25,12
23,346745000000000,218,01/09/26,18
24,491680000000000,170,01/04/28,2
25,371219000000000,221,01/02/23,19
,,,,
,,,,
,,,,
